Name,Weight (kg),Height (cm),Country,Age,Team,Sport,Gender,Weight ClassWIN,LOSS,DRAW,W TKO,W Submission,W Disqualification,W Unanimous Decision,W Split Decision,L TKO,L Submission,L Disqualification,L Unanimous Decision,L Split Decision,Total Fights
Ibragim Dauev,65.8,178.0,Russia,24,Fight Club Akhmat / One Chance,MMA,Male,Featherweight,2,0,0,0,0,0,1,1,0,0,0,0,0,2
Ibragim Shaymanov,-1,180.0,Uzbekistan,31,0,MMA,Male,Out of range,0,2,0,0,0,0,0,0,0,0,0,2,0,2
Idris “Aggressor” Abdurashidov,65.3,177.0,Russia,22,Aslan Team,MMA,Male,Bantamweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Ikko Ota,54.9,169.0,Japan,23,Shinkoh Muay Thai Gym,Muay Thai,Male,Strawweight,1,2,0,0,0,0,0,0,0,0,0,2,0,3
Ilashev Dostonbek,-1,173.0,Uzbekistan,26,Raqobat,Kickboxing,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Ilias Ennahachi,61.2,178.0,Morocco / Netherlands,29,S&B Gym,Kickboxing,Male,Flyweight,5,0,0,0,0,0,2,1,0,0,0,0,0,5
Ilimbek Akylbek Uulu,60.8,170.0,Kyrgyzstan,21,Tiger Muay Thai,MMA,Male,Flyweight,1,2,0,0,0,0,1,0,2,0,0,0,0,3
"Ilja “""Hands of Stone""” Stojanov",83.7,185.0,Germany,37,MMA Spirit,MMA,Male,Welterweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Ilya Freymanov,69.9,179.0,Russia,29,Kuznya Fight Club,MMA,Male,Featherweight,2,1,0,1,1,0,0,0,0,1,0,0,0,3
Ilyas Dursun,-1,173.0,Turkey,25,Amir Team / Seven Training Club,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Ilyas Eziyeu,65.6,178.0,Belarus,23,Akhmat Fight Team,MMA,Male,Bantamweight,2,1,0,0,1,0,1,0,1,0,0,0,0,3
Ilyas Musaev,61.2,173.0,Russia,-1,Team Mehdi Zatout,Muay Thai,Male,Flyweight,3,5,0,0,0,0,0,0,0,0,0,4,1,8
Imad Salhi,54.8,172.0,Morocco / Spain,23,Sor Dechapan / Voodoo Fight Gym,Muay Thai,Male,Strawweight,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Iman “Pretty Killer” Barlow,56.7,166.0,United Kingdom,32,Assassins MUAY THAI,Muay Thai,Male,Flyweight,2,0,0,1,0,0,1,0,0,0,0,0,0,2
Imran Satiev,61.0,170.0,Russia,26,KHK Dagestan / Team Mehdi Zatout,MMA,Male,Flyweight,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Irfan “The Gorilla” Ahmad,56.7,168.0,Pakistan,29,Team Shaheen,MMA,Male,Flyweight,2,0,0,0,1,0,1,0,0,0,0,0,0,2
Isaac “The Danger” Araya,-1,170.0,Spain,38,Muay Pam Gym Tenerife,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
“Petnueng” Isaac Mohammed,52.9,169.0,Algeria / France,19,Petch Muay Thai Gym,Muay Thai,Male,Strawweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Isannuea Tor Tanjaroen,-1,172.0,Thailand,21,Sit Erawan,Muay Thai,Male,Out of range,1,2,0,0,0,0,0,0,0,0,0,1,1,3
Isaque Moura,70.0,170.0,Brazil,31,Lions MMA Club,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Isfak “General” Seyid,-1,170.0,Turkey,28,Flipside / Last Round Gym,MMA,Male,Out of range,2,0,0,0,0,0,2,0,0,0,0,0,0,2
Isi “Doxz” Fitikefu,83.9,178.0,Australia / Tonga,32,Gracie Jiu-Jitsu Smeaton Grange,MMA,Male,Welterweight,2,1,0,0,1,0,1,0,0,0,0,0,1,3
Islam “Cannibal” Kukaev,72.1,177.0,Austria,30,Hiro Gym,MMA,Male,Lightweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Islam Murtazaev,77.1,184.0,Russia,34,Varyag Gym / Venum Training Camp Thailand,Kickboxing,Male,Lightweight,0,2,0,0,0,0,0,0,0,0,0,1,1,2
Islay Erika Bomogao,-1,153.0,Philippines,24,Team Bagsik,Muay Thai,Male,Out of range,3,0,0,0,0,0,2,0,0,0,0,0,0,3
Ismael Bandiwan,56.7,160.0,Philippines,29,Tribal Torogi,MMA,Male,Flyweight,2,0,0,2,0,0,0,0,0,0,0,0,0,2
Ismael “Mr. Pain” Londt,123.8,194.0,Netherlands / Suriname,39,ARJ Trainingen,Kickboxing,Male,Light Heavyweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Ismail “The Volcano” Khan,-1,170.0,Pakistan,27,KAKS,MMA,Male,Out of range,2,1,0,0,1,0,1,0,0,1,0,0,0,3
Issei Yonaha,55.5,173.0,Japan,27,Saenchai Muay Thai Gym,Muay Thai,Male,Strawweight,2,1,0,0,0,0,1,0,0,0,0,1,0,3
Itsuki “Android 18” Hirata,51.5,157.0,Japan,25,Serra-Longo Fight Team,MMA,Male,Atomweight,5,4,0,1,2,0,2,0,0,1,0,2,1,9
Iuri Lapicus,83.9,180.0,Moldova,-1,Ankos MMA / Team Petrosyan,MMA,Male,Welterweight,2,2,1,0,2,0,0,0,1,0,0,0,0,5
Ivan “Killer Whale” Bondarchuk,70.0,182.0,Russia,27,Archangel Michel,MMA,Male,Featherweight,3,0,0,0,0,0,2,0,0,0,0,0,0,3
Ivan “Bullet” Buldakov,57.1,167.0,Russia,24,Archangel Michel,Muay Thai,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Ivan “Samurai” Gnizditskiy,-1,186.0,Russia,29,Chingi Tura,MMA,Male,Out of range,2,0,0,2,0,0,0,0,0,0,0,0,0,2
Ivan Orekhov,60.8,165.0,Russia,30,Ratibor Moscow / Tiger Muay Thai,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Ivan Parshikov,-1,167.0,Russia,27,Nova Uniao / Rusich,MMA,Male,Out of range,3,2,0,1,1,0,1,0,1,0,0,1,0,5
Ivan Podrugin,-1,190.0,Russia,24,Pankration Fight Club / Raty Team,MMA,Male,Out of range,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Izaak Michell,83.5,178.0,Australia,26,Vanguard Academy,Submission Grappling,Male,Welterweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Jace “JKO” Law,70.3,178.0,Malaysia,33,Harbour Top Team,MMA,Male,Featherweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Jack Jackmuaythai Gym,-1,170.0,Thailand,29,Sit Jack Muaythai,Muay Thai,Male,Out of range,2,1,0,0,0,0,0,0,0,0,0,1,0,3
Jacob Smith,60.6,169.0,United Kingdom,32,Bad Company / Thaifist,Muay Thai,Male,Flyweight,1,3,0,0,0,0,0,0,0,0,0,3,0,4
Jacob “Sombat” Thompson,-1,173.0,United Kingdom,22,Team Jai Dee,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Jaipet Singha Mawynn,-1,173.0,Thailand,19,Singha Mawynn,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Jaising Sitnayokpunsak,-1,167.0,Thailand,29,Sitnayokpansak,Muay Thai,Male,Out of range,2,2,0,0,0,0,0,0,1,0,0,0,0,4
Jake “The One” Peacock,-1,171.0,Canada / United Kingdom,32,Dunamis Muay Thai,Muay Thai,Male,Out of range,2,0,0,1,0,0,1,0,0,0,0,0,0,2
Jakub Poslowski,-1,173.0,Poland,22,Klincz Kielce,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Jakub “Superjoke” Wayman,-1,180.0,United States,22,Khun Suek,MMA,Male,Out of range,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Jalill “Green Lotus” Barnes,-1,175.0,United States,27,Phuket Fight Club,Muay Thai,Male,Out of range,1,1,0,0,0,0,1,0,0,0,0,0,0,2
Jamal “Yeniceri” Yusupov,69.9,176.0,Turkey,41,Hyperion Fighters,Muay Thai,Male,Featherweight,3,1,0,0,0,0,2,0,1,0,0,0,0,4
Jamark Cooper,54.1,167.0,United States,35,Tiger Muay Thai,Kickboxing,Male,Strawweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
James Nakashima,77.1,178.0,United States,36,MMA Lab,MMA,Male,Lightweight,3,3,0,1,0,0,2,0,1,2,0,0,0,6
James Yang,70.1,173.0,United States,35,AMC Pankration,MMA,Male,Featherweight,1,1,0,1,0,0,0,0,0,0,0,1,0,2
Jang “Sirius” Seon Gyu,-1,170.0,South Korea,24,Team Rookie,MMA,Male,Out of range,2,0,0,0,0,0,0,1,0,0,0,0,0,2
Jaoinsee PK Saenchai,-1,164.0,Thailand,28,PK Saenchai Muaythaigym,Muay Thai,Male,Out of range,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Jaopuenyai Kiatkongkreangkrai,-1,173.0,Thailand,22,Kiatkongkreangkrai Muay Thai Gym,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Jaosuayai Mor Krungthepthonburi,60.9,166.0,Thailand,23,Sor Dechapan,Muay Thai,Male,Flyweight,8,2,0,0,0,0,1,0,0,0,0,2,0,10
Jaradchai Maxjandee,-1,182.0,Thailand,17,Maxjandee / PK Saenchai Muaythaigym,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Jaroenporn TKD Muaythai,-1,165.0,27 Y,-1,TKD Muaythai,Muay Thai,Male,Out of range,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Jaruadsuk Sor Jor Wichitpadriew,-1,175.0,Thailand,25,Sor Takainthong,Muay Thai,Male,Out of range,2,0,0,0,0,0,1,1,0,0,0,0,0,2
Javad Bigdeli,-1,171.0,Iran,30,Tiger Muay Thai,Muay Thai,Male,Out of range,0,2,0,0,0,0,0,0,1,0,0,1,0,2
Javier “Yiyo” Aparicio,76.3,194.0,Argentina,33,Dojo Serpiente / Silk Muay Thai,Muay Thai,Male,Lightweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Jayson “Dumagmang Warrior” Miralpez,-1,175.0,Philippines,21,Warriors MMA Academy,MMA,Male,Out of range,2,1,0,1,0,0,0,0,0,0,0,1,0,3
JD “Deadshot” Hardwick,-1,185.0,United States,38,Bali MMA,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Jean Carlos Pereira,76.3,186.0,Brazil,28,Muay Thai J Base,MMA,Male,Lightweight,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Jean Claude Saclag,61.1,170.0,Philippines,30,Team Lakay,MMA,Male,Flyweight,2,1,0,2,0,0,0,0,0,1,0,0,0,3
Jeff Chan,65.8,174.0,Canada,33,Tristar,MMA,Male,Featherweight,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Jelte Blommaert,-1,170.0,Belgium,25,FA Group,Muay Thai,Male,Out of range,2,4,0,1,0,0,0,0,1,0,0,3,0,6
Jencherng Pumpanmuang,-1,170.0,Thailand,27,Lukmakhamwan,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Jenelyn “The Graceful” Olsim,52.0,161.0,Philippines,28,Lions Nation MMA,MMA,Male,Atomweight,3,4,0,0,1,0,1,1,0,2,0,1,0,7
Jeremy “The Jaguar” Miado,56.4,170.0,Philippines,32,Marrok Force,MMA,Male,Strawweight,7,8,0,4,0,0,1,0,2,2,0,2,2,15
Jeremy “The Juggernaut” Pacatiw,65.4,170.0,Philippines,29,Lions Nation MMA,MMA,Male,Bantamweight,3,2,0,0,2,0,1,0,0,0,0,1,0,5
Jerry Olsim,70.3,171.0,Philippines,30,Team Lakay,MMA,Male,Featherweight,2,1,0,0,0,0,2,0,0,0,0,1,0,3
Jessa Khan,52.2,152.0,Cambodia / United States,23,Art of Jiu-Jitsu Academy,Submission Grappling,Male,Strawweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Jhanlo Mark “The Machine” Sangiao,65.8,168.0,Philippines,22,Team Lakay,MMA,Male,Featherweight,3,1,0,0,3,0,0,0,0,1,0,0,0,4
Jia “The Condor” Ao Qi,70.3,177.0,China,33,Fighting Elements Gym Team A,Sanda,Male,Featherweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Jiang Lumin,56.4,165.0,China,22,Sathian MuayThai,Muay Thai,Male,Strawweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Jiao “The Wind” Dao Bo,70.3,173.0,China,33,Fighting Elements Gym Team B,Sanda,Male,Featherweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
“The Eagle of Yi” Jiduo Yibu,60.7,173.0,China,25,Shengli Fight Club,Muay Thai,Male,Flyweight,0,3,0,0,0,0,0,0,0,0,0,2,1,3
Jihin “Shadow Cat” Radzuan,54.5,160.0,Malaysia,26,Ultimate MMA Academy,MMA,Male,Strawweight,8,5,0,0,3,0,4,1,0,0,0,4,1,13
Jimmy “JV01” Vienot,69.9,184.0,France,30,Team Mehdi Zatout,Muay Thai,Male,Featherweight,1,2,0,0,0,0,1,0,0,0,0,1,1,3
Jingreedtong Kelasport,-1,172.0,Thailand,24,Sor Dechapan,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
“Smokin” Jo Nattawut,70.1,178.0,Thailand,35,Thai Top Team,Muay Thai,Male,Featherweight,6,8,0,1,0,0,3,0,1,0,0,3,0,14
Joachim “Pantera” Ouraghi,60.9,179.0,Algeria / France,29,Petsaman,Muay Thai,Male,Flyweight,1,4,0,0,0,0,0,0,1,0,0,2,1,5
Joe Welch,-1,182.0,United Kingdom,28,Northern Kings,Muay Thai,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Joey “Filipino Kid” Baylon,56.7,164.0,New Zealand,-1,4 Y,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Joey “Mama's Boy” Pierotti,83.9,180.0,United States,35,Combat Sports and Fitness,MMA,Male,Welterweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Johan “Panda Kick” Estupinan,61.2,175.0,Colombia,22,JCFernandez / Team CSK,Muay Thai,Male,Flyweight,5,1,0,1,0,0,2,0,0,0,0,0,0,6
Johan “Jojo” Ghazali,-1,170.0,Malaysia / United States,18,Rentap Muaythai Gym,Muay Thai,Male,Out of range,6,3,0,0,0,0,1,0,0,0,0,2,1,9
John “Hands of Stone” Lineker,65.7,160.0,Brazil,35,American Top Team,Kickboxing,Male,Bantamweight,8,4,1,2,0,0,2,0,1,1,0,1,1,13
John Wayne “The Gunslinger” Parr,76.7,176.0,Australia,49,Boonchu Gym,Muay Thai,Male,Lightweight,0,2,0,0,0,0,0,0,1,0,0,1,0,2
Johnny “Johnny Boy” Nunez,77.1,180.0,United States,39,Evolve MMA,MMA,Male,Lightweight,0,2,0,0,0,0,0,0,0,1,0,1,0,2
Joji “The Twister” Goto,65.0,172.0,Japan,29,Tribe Tokyo MMA,MMA,Male,Bantamweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Joker Paesaisi,-1,170.0,Thailand,20,Paesaisi,Muay Thai,Male,Out of range,0,2,0,0,0,0,0,0,1,0,0,0,0,2
Jomhod “Left Sniper” Auto MuayThai,-1,165.0,Thailand,36,Jomhod Auto R1 Gym,Muay Thai,Male,Out of range,1,2,0,1,0,0,0,0,1,0,0,0,0,3
Jomhot Charoenmuang,-1,164.0,Cambodia,24,Jaroenmueng Muaythai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Jomhod Chor Ketwina,61.1,177.0,Thailand,27,TDed99,Muay Thai,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Jomjai Naksugym,-1,158.0,Thailand,25,Captain Kane Gym,Muay Thai,Male,Out of range,1,1,0,0,0,0,1,0,0,0,0,0,1,2
Jompadej Nupranburi,-1,160.0,Thailand,29,Nupranburi,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Jong Heon “Jeager” Kim,70.3,178.0,South Korea,31,Octagon Multi Gym,MMA,Male,Featherweight,0,2,0,0,0,0,0,0,2,0,0,0,0,2
Jongangsuk Sor Theppitak,59.5,170.0,Thailand,30,Kiatpetch,Muay Thai,Male,Flyweight,1,1,0,1,0,0,0,0,0,0,0,1,0,2
Joo Hwan Kim,61.2,164.0,South Korea,32,Octagon Multi Gym,MMA,Male,Flyweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Jordan Estupinan,56.7,-1.0,Colombia,2,0,Muay Thai,Male,Flyweight,2,0,0,0,0,0,2,0,0,0,0,0,0,2
Jordan “Wolf” Godtfredsen,-1,181.0,Australia,32,Kao Sok Muay Thai,Muay Thai,Male,Out of range,0,2,0,0,0,0,0,0,0,0,0,0,1,2
Jose Manuel Hita,-1,182.0,Spain,34,Kai Muay Freefighters,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Josh Hill,-1,186.0,United Kingdom,26,Majestic Gym,Muay Thai,Male,Out of range,2,0,0,0,0,0,2,0,0,0,0,0,0,2
Josh “Timebomb” Tonna,56.6,168.0,Australia,37,MuayU,Kickboxing,Male,Strawweight,3,4,0,0,0,0,2,0,2,0,0,1,0,7
Josh “Cobra” Trowbridge,-1,167.0,Australia,19,Sangtiennoi Gym,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Joshua “Flyin Hawaiian” Perreira,56.7,170.0,United States,28,Immortal Martial Arts,MMA,Male,Flyweight,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Josue “Tuzo” Cruz,60.4,168.0,Mexico,29,Mahmoudi Gym Mexico,Muay Thai,Male,Flyweight,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Jozef Chen,-1,175.0,South Africa,20,B-Team,Submission Grappling,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Judy Humber,-1,170.0,Scotland,29,Sinbi Muaythai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Julio Lobo,63.1,180.0,Brazil,31,Phuket Fight Club,Muay Thai,Male,Bantamweight,1,2,0,0,0,0,0,0,1,0,0,1,0,3
Jung Jun Hee,70.0,174.0,South Korea,23,Wang Ho,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Junior Fairtex,-1,157.0,Thailand,19,1,Muay Thai,Male,Out of range,7,1,0,1,0,0,5,1,1,0,0,0,0,8
Jurai Ishii,54.9,175.0,Japan,19,Exindecon Gym,Muay Thai,Male,Strawweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Justin “Bones” Jones Matoto,-1,167.0,Philippines,22,CC MMA / OC Fight Gym,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Kabilan Jelevan,61.2,170.0,Malaysia,25,Rentap Muaythai Gym,Muay Thai,Male,Flyweight,2,2,0,0,0,0,0,0,1,0,0,0,0,4
Kaenlek Sor Chokmeechai,54.3,165.0,Thailand,22,Sor Chokmeechai,Muay Thai,Male,Strawweight,2,1,0,1,0,0,0,0,0,0,0,1,0,3
Kaenpitak NhongBangsai,55.2,169.0,Thailand,25,NhongBangsai,Muay Thai,Male,Strawweight,2,1,0,0,0,0,1,1,0,0,0,0,0,3
Maisangngern Sor Yingcharoenkarnchang,-1,165.0,Thailand,24,3rd Army Area,Muay Thai,Male,Out of range,2,1,0,0,0,0,2,0,0,0,0,0,0,3
Kaimookkhao Wankhongohm MBK,54.8,173.0,Thailand,19,Petseemuan Gym,Muay Thai,Male,Strawweight,3,0,0,1,0,0,2,0,0,0,0,0,0,3
Kairat “The Kazakh” Akhmetov,61.2,165.0,Kazakhstan,37,Tiger Muay Thai,MMA,Male,Flyweight,8,2,0,0,0,0,6,2,0,0,0,2,0,10
Kais “Petsong” Mohammed,57.8,176.0,Algeria / France,18,Petch Muay Thai Gym,Muay Thai,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kaisei Sato,-1,175.0,Japan,23,PCK,Muay Thai,Male,Out of range,0,2,0,0,0,0,0,0,1,0,0,1,0,2
Kaito Oda,-1,168.0,Japan,27,Carpe Diem Fukuoka,MMA,Male,Out of range,2,0,0,0,0,0,2,0,0,0,0,0,0,2
Kaito,77.11,180.0,Japan,27,Team F.O.D.,Kickboxing,Male,Welterweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Kaito Sakaguchi,-1,176.0,Japan,23,Risshi Kaikan,Kickboxing,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Kalaked Por Muangpetch,-1,160.0,Thailand,21,Por Muangpetch,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Kampeetewada Sitthikul,-1,183.0,Thailand,22,Sitthikul Muaytewada Gym,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kana “Krusher Queen” Morimoto,47.63,-1.0,Japan,32,Team Aftermath,Kickboxing,Male,Atomweight,1,2,0,0,0,0,1,0,0,0,0,2,0,3
“Mighty Warrior” Kang Ji Won,110.4,184.0,South Korea,29,Wang Ho,MMA,Male,Heavyweight,4,3,0,2,0,0,0,0,0,2,0,1,0,7
Kanta Motoyama,56.7,171.0,Japan,23,Kick Lab,Kickboxing,Male,Flyweight,2,0,0,0,0,0,2,0,0,0,0,0,0,2
Kantharaj “Kannadiga” Agasa,65.8,165.0,India,33,Indian Combat Sports Academy,MMA,Male,Featherweight,1,1,0,1,0,0,0,0,1,0,0,0,0,2
Kaoklai Chor Hapayak,56.2,160.0,Thailand,26,LookEsan fighting,Muay Thai,Male,Strawweight,3,5,0,1,0,0,0,0,1,0,0,2,0,8
Kaotaem Fairtex,-1,165.0,Thailand,20,Petpalabordee,Muay Thai,Male,Out of range,3,1,0,2,0,0,1,0,0,0,0,1,0,4
Karim “The Surgeon” Bennoui,-1,173.0,Algeria,37,Team Mehdi Zatout / Team Nasser K,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Karim Dahou,-1,179.0,France,36,Team Mehdi Zatout,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Kasim Magomedshapiev,-1,180.0,Russia,23,Forward Fight Club,MMA,Male,Out of range,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Katsuaki “Blast” Aoyagi,69.4,173.0,Japan,27,BMF Space,MMA,Male,Featherweight,2,1,0,1,0,0,0,0,0,0,0,0,0,3
Katsuki Kitano,61.23,177.0,Japan,29,Seishikai Gym,Muay Thai,Male,Bantamweight,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Kayasit Por Prachansi,63.2,177.0,Thailand,28,Por Prachansi,Muay Thai,Male,Bantamweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Kazakbai Tilenov,-1,173.0,Kyrgyzstan,23,Ihlas Bishkek / Tiger Muay Thai,MMA,Male,Out of range,1,1,0,1,0,0,0,0,1,0,0,0,0,2
Kazuki Yamagishi,-1,170.0,Japan,33,PCK,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Kazumichi Murai,69.9,171.0,Japan,35,Fight Base Toritsudai / PK Saenchai Muaythaigym,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Ke “Shaolin Disciple” Jingjun,-1,173.0,China,27,Chu Zhan Kungfu Fight Club,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kei Maezono,-1,167.0,Japan,25,YOSHIDA DOJO,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Keito “Pocket Monk” Yamakita,56.2,155.0,Japan,28,We,MMA,Male,Strawweight,4,1,0,0,1,0,2,1,0,0,0,1,0,5
Keivan Soleimani,-1,180.0,Iran,34,Tiger Muay Thai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Kenan Bayramov,73.0,180.0,Azerbaijan / Turkey,22,Kharajala Fight Club / Tiger Muay Thai,Muay Thai,Male,Lightweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kendu Irving,64.9,182.0,United States,25,Fairtex Training Center,Muay Thai,Male,Bantamweight,2,1,0,0,0,0,1,0,0,0,0,1,0,3
Kevin “The Silencer” Belingon,65.8,165.0,Philippines,37,Lions Nation MMA,MMA,Male,Featherweight,11,11,0,3,1,0,4,1,2,4,1,2,1,22
Khalim Nazruloev,60.9,170.0,Russia / Tajikistan,26,Archangel Michel,MMA,Male,Flyweight,2,0,0,1,0,0,1,0,0,0,0,0,0,2
Khasan Khaliev,-1,180.0,Russia,36,Fight Club Akhmat / Team Mehdi Zatout,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Khasan “Wolf” Salomov,-1,170.0,Uzbekistan,18,Team Mehdi Zatout,Muay Thai,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Khojinsa “Uzbek Tigress” Komoldinova,73.8,170.0,Uzbekistan,26,Raqobat,MMA,Male,Lightweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Khon Sichan,61.2,164.0,Cambodia,37,Phnom Penh MMA / Prodal Fight Gym,MMA,Male,Flyweight,1,5,0,0,0,0,0,1,1,4,0,0,0,6
Khundet PK Saenchai,59.7,170.0,Thailand,20,PK Saenchai Muaythaigym,Muay Thai,Male,Flyweight,1,1,0,1,0,0,0,0,0,0,0,0,0,2
Khunkrai PK Saenchai,57.8,165.0,Thailand,27,PK Saenchai Muaythaigym,Muay Thai,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Khunpon Aekmuangnon,-1,179.0,Thailand,19,Petchnumnoi,Muay Thai,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Khunpon Or AudUdon,55.2,165.0,Thailand,18,Changbanrat,Muay Thai,Male,Strawweight,2,0,0,1,0,0,0,1,0,0,0,0,0,2
Khunponnoi Sor Sommai,61.3,170.0,Thailand,32,Sor Sommai,Muay Thai,Male,Bantamweight,6,2,0,0,0,0,2,1,1,0,0,0,0,8
Khunsuek Superbon Training Camp,70.2,179.0,Thailand,25,Superbon Training Camp,Muay Thai,Male,Featherweight,3,1,0,0,0,0,2,0,0,0,0,0,0,4
Khunsueklek Boomdeksean,-1,165.0,Thailand,20,Boomdeksean,Muay Thai,Male,Out of range,3,0,0,0,0,0,3,0,0,0,0,0,0,3
Khunsuk Mor Krungthepthonburi,51.3,160.0,Thailand,21,Sor Dechapan,Muay Thai,Male,Atomweight,6,4,0,0,0,0,1,0,2,0,0,2,0,10
Khurshidbek Bozarboev,91.5,178.0,Uzbekistan,29,Jakhon Club,MMA,Male,Middleweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Khusan Urakov,-1,187.0,Uzbekistan,23,Raqobat,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Khusen “Lee” Salomov,-1,170.0,Uzbekistan,18,Team Mehdi Zatout,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Kiamran Nabati,61.23,178.0,Russia,30,Archangel Michel,Muay Thai,Male,Bantamweight,4,0,1,0,0,0,3,0,0,0,0,0,0,5
Kieran “The Stonecutter” Joblin,77.1,179.0,New Zealand,36,Shoot Grapple Roll,MMA,Male,Lightweight,1,2,0,1,0,0,0,0,2,0,0,0,0,3
