Name,Weight (kg),Height (cm),Country,Age,Team,Sport,Gender,Weight ClassWIN,LOSS,DRAW,W TKO,W Submission,W Disqualification,W Unanimous Decision,W Split Decision,L TKO,L Submission,L Disqualification,L Unanimous Decision,L Split Decision,Total Fights
Alexandre Khan,-1,175.0,France / Thailand,31,Phuket Fight Club,MMA,Male,Out of range,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Alexey Balyko,63.1,170.0,Russia,31,Tiger Muay Thai,Muay Thai,Male,Bantamweight,3,3,0,0,0,0,1,0,0,0,0,2,0,6
Alexy Lyapunov,-1,180.0,Russia,30,Tiger Muay Thai,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Alfie Ponting,-1,180.0,United Kingdom,19,Masda Gym Liverpool,Muay Thai,Male,Out of range,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Ali Aliev,77.1,178.0,Russia,26,Team Mehdi Zatout,Muay Thai,Male,Lightweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Ali Kabdulla,-1,178.0,Kazakhstan,29,Tiger Muay Thai,MMA,Male,Out of range,2,0,0,2,0,0,0,0,0,0,0,0,0,2
Ali-Khan Ergeshov,-1,178.0,Kyrgyzstan,23,Tiger Muay Thai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Ali “The King” Koyuncu,-1,175.0,Turkey,24,Team Reza Goodary,Muay Thai,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Ali Motamed,65.8,168.0,Iran,34,Team Envisage,MMA,Male,Featherweight,2,3,0,0,0,0,1,1,3,0,0,0,0,5
Ali Saldoev,62.5,173.0,Russia,25,Archangel Michel,Muay Thai,Male,Bantamweight,1,2,0,0,0,0,0,0,0,0,0,1,0,3
Ali Serik,-1,172.0,Kazakhstan,20,Titan Fight Club,Kickboxing,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Aliasghar Ghodratisaraskan,-1,176.0,Iran,28,Family Muay Thai,Kickboxing,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Alibeg Rasulov,-1,184.0,Turkey,32,Hyperion Fighters,MMA,Male,Out of range,1,0,1,0,0,0,1,0,0,0,0,0,0,2
Aliff Sor Dechapan,-1,177.0,Malaysia / Thailand,21,Sor Dechapan,Muay Thai,Male,Out of range,8,2,0,1,0,0,3,0,0,0,0,1,1,10
Allan Albindo,58.5,165.0,Philippines,28,Yaw-Yan Ardigma Cebu,MMA,Male,Flyweight,1,2,0,1,0,0,0,0,0,0,0,1,1,3
Alisson Barbosa,-1,183.0,Brazil,35,Phuket Fight Club,MMA,Male,Out of range,1,1,0,0,1,0,0,0,1,0,0,0,0,2
Alma Juniku,52.2,163.0,Australia,24,Modern Warrior Muay Thai,Muay Thai,Male,Strawweight,0,3,0,0,0,0,0,0,0,0,0,2,0,3
